study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.840.113619.2.278.3.717616.260.1578649371.734,1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.3,0.9,1.4,1.8,5.4,,LARGE_CENTROID_DIST: gallbladder=19.9mm
1.2.840.113619.2.278.3.717616.260.1578649371.734,1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.0,0.5,1.7,2.4,3.7,,
1.2.840.113619.2.278.3.717616.260.1578649372.302,1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,7.6,1.2,1.1,2.2,7.0,,
1.2.840.113619.2.278.3.717616.260.1578649372.302,1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,8.4,1.4,2.0,2.7,7.5,,
1.2.840.113619.2.278.3.717616.260.1578649380.289,1.2.840.113619.2.278.3.717616.260.1578649380.417.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,9.9,1.2,2.0,3.1,11.1,,LARGE_CENTROID_DIST: gallbladder=36.7mm
1.2.840.113619.2.278.3.717616.260.1578649380.289,1.2.840.113619.2.278.3.717616.260.1578649380.417.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,10.0,0.8,0.9,1.0,9.4,,
1.2.840.113619.2.278.3.717616.260.1578649381.693,1.2.840.113619.2.278.3.717616.260.1578649381.790.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,9.0,0.6,1.2,1.6,7.4,,
1.2.840.113619.2.278.3.717616.260.1578649381.693,1.2.840.113619.2.278.3.717616.260.1578649381.790.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,4.6,0.9,1.7,2.5,4.0,,
1.2.840.113619.2.278.3.717616.260.1578649386.487,1.2.840.113619.2.278.3.717616.260.1578649386.582.4198401,Arterial,file_missing,,,,,,,,,,,,,,../ncct_cect/vindr_ds/aligned_volumes/1.2.840.113619.2.278.3.717616.260.1578649386.487/1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.582.4198401_aligned_seg_reg.nii.gz,
1.2.840.113619.2.278.3.717616.260.1578649386.487,1.2.840.113619.2.278.3.717616.260.1578649386.582.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.8,1.5,3.0,4.1,5.1,,LARGE_CENTROID_DIST: IVC=28.1mm
