path,filename,n_voxels,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_0.1_all,pct_1_all,pct_5_all,pct_25_all,pct_50_all,pct_75_all,pct_95_all,pct_99_all,pct_99.9_all,pct_0.1_body,pct_1_body,pct_5_body,pct_25_body,pct_50_body,pct_75_body,pct_95_body,pct_99_body,pct_99.9_body
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_baseline.nii.gz,2652014,-1200.0,-700.0,0.0,0.0,0.0,0.522613,0.600884,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1035.8,-974.3,-912.8,-700.0,-700.0,-999.9,-999.1,-995.6,-981.5,-967.6,-952.7,-704.2,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_baseline.nii.gz,2652014,-1200.0,-700.0,0.0,0.0,0.0,0.509304,0.567489,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1029.5,-962.6,-842.6,-700.0,-700.0,-999.9,-998.6,-993.3,-973.3,-958.2,-934.1,-705.3,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649367.247/1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_baseline.nii.gz,2652014,-1200.0,-700.0,0.0,0.0,0.0,0.50572,0.55935,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1027.5,-949.4,-862.6,-700.0,-700.0,-999.8,-998.4,-991.9,-967.0,-939.3,-906.9,-717.1,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_baseline.nii.gz,4392640,-1200.0,-700.0,0.0,0.0,0.0,0.581487,0.642577,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1077.9,-981.1,-948.9,-700.0,-700.0,-999.9,-999.1,-995.6,-983.4,-973.0,-961.6,-747.9,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_baseline.nii.gz,4392640,-1200.0,-700.0,0.0,0.0,0.0,0.568995,0.617861,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1072.3,-969.0,-866.3,-700.0,-700.0,-999.8,-998.6,-993.3,-975.0,-959.8,-930.0,-710.8,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649371.734/1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_baseline.nii.gz,4392640,-1200.0,-700.0,0.0,0.0,0.0,0.566874,0.611392,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1071.8,-956.2,-887.2,-700.0,-700.0,-999.8,-998.3,-991.9,-967.5,-942.3,-916.2,-763.6,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_baseline.nii.gz,3087116,-1200.0,-700.0,0.0,0.0,0.0,0.516687,0.587527,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1033.0,-975.3,-919.0,-700.0,-700.0,-999.9,-999.1,-995.7,-982.9,-969.9,-955.5,-740.0,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_baseline.nii.gz,3087116,-1200.0,-700.0,0.0,0.0,0.0,0.501168,0.558328,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1024.6,-966.3,-853.8,-700.0,-700.0,-999.9,-998.6,-993.7,-976.7,-962.9,-945.7,-722.2,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649372.302/1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_baseline.nii.gz,3087116,-1200.0,-700.0,0.0,0.0,0.0,0.508404,0.55444,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1029.4,-946.6,-867.9,-700.0,-700.0,-999.8,-998.1,-991.2,-968.2,-937.8,-911.5,-764.0,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649380.289/1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_baseline.nii.gz,2613600,-1200.0,-700.0,0.0,0.0,0.0,0.482751,0.549507,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1015.9,-972.1,-908.9,-700.0,-700.0,-999.9,-999.0,-995.3,-982.0,-969.5,-956.3,-739.3,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649380.289/1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4198401_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4198401_baseline.nii.gz,2613600,-1200.0,-700.0,0.0,0.0,0.0,0.477899,0.529375,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1012.0,-963.7,-837.3,-700.0,-700.0,-999.8,-998.4,-993.0,-975.6,-962.1,-942.9,-719.9,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649380.289/1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4202498_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4202498_baseline.nii.gz,2613600,-1200.0,-700.0,0.0,0.0,0.0,0.473489,0.516194,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1007.9,-941.7,-867.7,-700.0,-700.0,-999.8,-997.9,-990.3,-965.3,-940.0,-915.6,-733.0,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649381.693/1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.698.3_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.698.3_baseline.nii.gz,3438240,-1200.0,-700.0,0.0,0.0,0.0,0.576956,0.634718,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1200.0,-1076.6,-976.4,-932.3,-700.0,-700.0,-999.9,-998.9,-995.1,-980.5,-966.2,-950.8,-700.0,-700.0,-700.0
../../ncct_cect/vindr_ds/baseline_volumes/1.2.840.113619.2.278.3.717616.260.1578649381.693/1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4198401_baseline.nii.gz,1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4198401_baseline.nii.gz,3438240,-1200.0,-700.0,0.0,0.0,0.0,0.546464,0.589805,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1200.0,-1144.9,-1057.1,-959.3,-845.5,-700.0,-700.0,-999.8,-998.2,-991.5,-970.0,-951.5,-925.9,-700.0,-700.0,-700.0
